city,country,year,week,lat,lon,avg_temp_week,max_temp_week,min_temp_weekday,date,alpha-3,region
Berlin,Germany,2023,38,52.52,13.4,19.900000000000002,28.5,13.2,38-2023,DEU,Europe
Lima,Peru,2023,16,-12.05,-77.05,22.428571428571427,28.2,19.7,16-2023,PER,Americas
Lima,Peru,2023,31,-12.05,-77.05,18.314285714285713,24.4,14.3,31-2023,PER,Americas
Florianopolis,Brazil,2023,17,-27.58,-48.57,20.14285714285714,26.6,16.4,17-2023,BRA,Americas
Medellin,Colombia,2022,43,6.29,-75.54,16.37142857142857,20.8,13.3,43-2022,COL,Americas
Tallinn,Estonia,2022,43,59.43,24.73,7.6,11.9,1.1,43-2022,EST,Europe
Berlin,Germany,2023,22,52.52,13.4,16.085714285714285,24.6,7.5,22-2023,DEU,Europe
Berlin,Germany,2022,01,52.52,13.4,13.4,14.4,11.8,01-2022,DEU,Europe
Barcelona,Spain,2023,32,41.38,2.18,25.385714285714283,30.8,22.0,32-2023,ESP,Europe
Buenos Aires,Argentina,2023,10,-34.59,-58.67,29.2,40.5,21.4,10-2023,ARG,Americas
Berlin,Germany,2023,05,52.52,13.4,3.471428571428571,7.9,-1.6,05-2023,DEU,Europe
Lima,Peru,2023,37,-12.05,-77.05,17.9,21.2,15.3,37-2023,PER,Americas
Rome,Italy,2022,48,41.9,12.48,10.27142857142857,16.4,6.8,48-2022,ITA,Europe
Lima,Peru,2023,27,-12.05,-77.05,18.514285714285712,24.4,15.8,27-2023,PER,Americas
Lima,Peru,2023,39,-12.05,-77.05,18.0,22.0,15.2,39-2023,PER,Americas
Rome,Italy,2022,47,41.9,12.48,11.657142857142858,15.9,6.2,47-2022,ITA,Europe
Tallinn,Estonia,2023,29,59.43,24.73,17.071428571428573,27.1,10.9,29-2023,EST,Europe
Barcelona,Spain,2023,13,41.38,2.18,15.714285714285714,22.9,12.1,13-2023,ESP,Europe
Lisbon,Portugal,2023,04,38.72,-9.13,9.142857142857142,14.8,4.5,04-2023,PRT,Europe
Lisbon,Portugal,2023,11,38.72,-9.13,14.528571428571428,21.9,9.6,11-2023,PRT,Europe
Lisbon,Portugal,2023,36,38.72,-9.13,20.457142857142856,25.7,16.2,36-2023,PRT,Europe
Lisbon,Portugal,2023,13,38.72,-9.13,16.357142857142858,23.3,9.8,13-2023,PRT,Europe
Lisbon,Portugal,2022,42,38.72,-9.13,17.8,20.3,16.1,42-2022,PRT,Europe
Florianopolis,Brazil,2022,45,-27.58,-48.57,18.0,24.0,12.7,45-2022,BRA,Americas
Tallinn,Estonia,2023,35,59.43,24.73,16.02857142857143,23.1,12.1,35-2023,EST,Europe
Lisbon,Portugal,2023,24,38.72,-9.13,21.51428571428571,31.4,16.3,24-2023,PRT,Europe
Florianopolis,Brazil,2023,16,-27.58,-48.57,19.67142857142857,25.5,12.6,16-2023,BRA,Americas
Lima,Peru,2022,53,-12.05,-77.05,21.0,23.8,19.3,53-2022,PER,Americas
Florianopolis,Brazil,2022,42,-27.58,-48.57,21.4,27.3,17.4,42-2022,BRA,Americas
Lima,Peru,2023,13,-12.05,-77.05,23.714285714285715,28.9,20.9,13-2023,PER,Americas
Rome,Italy,2023,04,41.9,12.48,6.1,12.5,2.3,04-2023,ITA,Europe
Lima,Peru,2023,19,-12.05,-77.05,20.75714285714286,25.4,17.1,19-2023,PER,Americas
Rome,Italy,2023,09,41.9,12.48,9.514285714285716,14.3,5.9,09-2023,ITA,Europe
