city,country,year,month,month_num,lat,lon,avg_temp_monthly,max_temp_monthly,min_temp_monthly,avg_humidity_monthly,month-year,date,alpha-3,region
Medellin,Colombia,2023,March    ,3,6.29,-75.54,15.14516129032258,29.4,8.5,89.64516129032258,March    -2023,2023-03-01,COL,Americas
Barcelona,Spain,2023,March    ,3,41.38,2.18,13.977419354838707,22.9,3.9,67.3225806451613,March    -2023,2023-03-01,ESP,Europe
Florianopolis,Brazil,2023,April    ,4,-27.58,-48.57,20.73333333333333,30.2,12.6,80.4,April    -2023,2023-04-01,BRA,Americas
Lima,Peru,2023,April    ,4,-12.05,-77.05,22.99666666666667,29.5,19.6,76.2,April    -2023,2023-04-01,PER,Americas
Medellin,Colombia,2023,April    ,4,6.29,-75.54,17.636666666666663,26.5,12.8,89.43333333333334,April    -2023,2023-04-01,COL,Americas
Tallinn,Estonia,2023,April    ,4,59.43,24.73,5.286666666666666,17.9,-3.6,75.26666666666667,April    -2023,2023-04-01,EST,Europe
Rome,Italy,2023,April    ,4,41.9,12.48,12.88,22.4,3.8,69.2,April    -2023,2023-04-01,ITA,Europe
Lisbon,Portugal,2023,April    ,4,38.72,-9.13,17.633333333333333,29.9,9.9,61.73333333333333,April    -2023,2023-04-01,PRT,Europe
Barcelona,Spain,2023,April    ,4,41.38,2.18,15.366666666666667,23.9,8.6,66.23333333333333,April    -2023,2023-04-01,ESP,Europe
Berlin,Germany,2023,April    ,4,52.52,13.4,7.913333333333333,20.0,-2.4,71.23333333333333,April    -2023,2023-04-01,DEU,Europe
Buenos Aires,Argentina,2023,April    ,4,-34.59,-58.67,18.78333333333333,29.8,8.4,59.766666666666666,April    -2023,2023-04-01,ARG,Americas
Berlin,Germany,2023,May      ,5,52.52,13.4,13.800000000000004,26.6,4.2,62.03225806451613,May      -2023,2023-05-01,DEU,Europe
Buenos Aires,Argentina,2023,May      ,5,-34.59,-58.67,15.687096774193549,25.6,6.0,70.83870967741936,May      -2023,2023-05-01,ARG,Americas
Tallinn,Estonia,2023,May      ,5,59.43,24.73,10.106451612903228,20.4,-0.6,64.93548387096774,May      -2023,2023-05-01,EST,Europe
Rome,Italy,2023,May      ,5,41.9,12.48,17.674193548387098,28.7,10.8,75.51612903225806,May      -2023,2023-05-01,ITA,Europe
Lima,Peru,2023,May      ,5,-12.05,-77.05,20.554838709677416,25.9,17.1,78.38709677419355,May      -2023,2023-05-01,PER,Americas
Lisbon,Portugal,2023,May      ,5,38.72,-9.13,18.93870967741935,29.3,12.7,61.774193548387096,May      -2023,2023-05-01,PRT,Europe
Medellin,Colombia,2023,May      ,5,6.29,-75.54,18.99677419354839,29.8,14.2,89.0,May      -2023,2023-05-01,COL,Americas
Florianopolis,Brazil,2023,May      ,5,-27.58,-48.57,19.43870967741936,28.4,12.6,79.93548387096774,May      -2023,2023-05-01,BRA,Americas
Barcelona,Spain,2023,May      ,5,41.38,2.18,18.074193548387097,24.4,11.8,65.0,May      -2023,2023-05-01,ESP,Europe
Barcelona,Spain,2023,June     ,6,41.38,2.18,23.526666666666667,31.5,16.6,64.93333333333334,June     -2023,2023-06-01,ESP,Europe
Lima,Peru,2023,June     ,6,-12.05,-77.05,19.076666666666664,25.4,15.9,76.33333333333333,June     -2023,2023-06-01,PER,Americas
Rome,Italy,2023,June     ,6,41.9,12.48,23.34,36.5,15.0,60.86666666666667,June     -2023,2023-06-01,ITA,Europe
Medellin,Colombia,2023,June     ,6,6.29,-75.54,19.093333333333337,29.2,13.5,85.3,June     -2023,2023-06-01,COL,Americas
Buenos Aires,Argentina,2023,June     ,6,-34.59,-58.67,12.496666666666668,24.7,2.6,71.23333333333333,June     -2023,2023-06-01,ARG,Americas
Berlin,Germany,2023,June     ,6,52.52,13.4,19.60333333333334,31.0,7.5,57.53333333333333,June     -2023,2023-06-01,DEU,Europe
Florianopolis,Brazil,2023,June     ,6,-27.58,-48.57,17.71,29.5,9.2,78.73333333333333,June     -2023,2023-06-01,BRA,Americas
Tallinn,Estonia,2023,June     ,6,59.43,24.73,16.06,28.2,4.7,63.333333333333336,June     -2023,2023-06-01,EST,Europe
Lisbon,Portugal,2023,June     ,6,38.72,-9.13,21.61,33.8,15.0,66.66666666666667,June     -2023,2023-06-01,PRT,Europe
Rome,Italy,2023,July     ,7,41.9,12.48,27.967741935483872,41.0,18.8,51.03225806451613,July     -2023,2023-07-01,ITA,Europe
Barcelona,Spain,2023,July     ,7,41.38,2.18,26.25806451612904,35.4,21.0,65.45161290322581,July     -2023,2023-07-01,ESP,Europe
Buenos Aires,Argentina,2023,July     ,7,-34.59,-58.67,11.974193548387095,25.2,0.4,73.35483870967742,July     -2023,2023-07-01,ARG,Americas
Lisbon,Portugal,2023,July     ,7,38.72,-9.13,21.80322580645161,31.7,16.1,66.35483870967742,July     -2023,2023-07-01,PRT,Europe
Lima,Peru,2023,July     ,7,-12.05,-77.05,18.625806451612902,24.4,15.3,76.12903225806451,July     -2023,2023-07-01,PER,Americas
Berlin,Germany,2023,July     ,7,52.52,13.4,20.5,35.2,12.0,55.45161290322581,July     -2023,2023-07-01,DEU,Europe
Tallinn,Estonia,2023,July     ,7,59.43,24.73,16.49032258064516,27.1,10.5,74.03225806451613,July     -2023,2023-07-01,EST,Europe
Florianopolis,Brazil,2023,July     ,7,-27.58,-48.57,16.77096774193548,26.1,9.7,82.74193548387096,July     -2023,2023-07-01,BRA,Americas
Medellin,Colombia,2023,July     ,7,6.29,-75.54,20.03548387096774,30.1,15.5,84.93548387096774,July     -2023,2023-07-01,COL,Americas
Barcelona,Spain,2023,August   ,8,41.38,2.18,26.07096774193549,34.0,18.2,62.32258064516129,August   -2023,2023-08-01,ESP,Europe
Lima,Peru,2023,August   ,8,-12.05,-77.05,18.30322580645161,23.3,14.3,76.0,August   -2023,2023-08-01,PER,Americas
Florianopolis,Brazil,2023,August   ,8,-27.58,-48.57,17.406451612903226,30.4,8.9,82.0,August   -2023,2023-08-01,BRA,Americas
Rome,Italy,2023,August   ,8,41.9,12.48,26.229032258064517,38.4,17.6,51.25806451612903,August   -2023,2023-08-01,ITA,Europe
Buenos Aires,Argentina,2023,August   ,8,-34.59,-58.67,13.045161290322582,28.0,4.0,60.80645161290322,August   -2023,2023-08-01,ARG,Americas
Medellin,Colombia,2023,August   ,8,6.29,-75.54,18.716129032258063,29.9,9.2,82.25806451612904,August   -2023,2023-08-01,COL,Americas
Lisbon,Portugal,2023,August   ,8,38.72,-9.13,22.96129032258065,34.7,16.2,62.32258064516129,August   -2023,2023-08-01,PRT,Europe
Tallinn,Estonia,2023,August   ,8,59.43,24.73,17.451612903225808,31.0,10.7,80.3225806451613,August   -2023,2023-08-01,EST,Europe
Berlin,Germany,2023,August   ,8,52.52,13.4,20.283870967741933,31.7,11.7,64.61290322580645,August   -2023,2023-08-01,DEU,Europe
Medellin,Colombia,2023,September,9,6.29,-75.54,17.910000000000004,29.0,9.1,81.33333333333333,September-2023,2023-09-01,COL,Americas
Berlin,Germany,2023,September,9,52.52,13.4,20.21,31.4,10.7,55.66666666666666,September-2023,2023-09-01,DEU,Europe
Barcelona,Spain,2023,September,9,41.38,2.18,23.746666666666663,28.6,17.9,61.9,September-2023,2023-09-01,ESP,Europe
Buenos Aires,Argentina,2023,September,9,-34.59,-58.67,13.8,24.4,5.2,69.0,September-2023,2023-09-01,ARG,Americas
Rome,Italy,2023,September,9,41.9,12.48,24.300000000000004,32.6,15.7,51.63333333333333,September-2023,2023-09-01,ITA,Europe
Lima,Peru,2023,September,9,-12.05,-77.05,18.009999999999998,22.0,15.2,77.86666666666666,September-2023,2023-09-01,PER,Americas
Lisbon,Portugal,2023,September,9,38.72,-9.13,20.856666666666666,29.8,15.4,69.56666666666666,September-2023,2023-09-01,PRT,Europe
Tallinn,Estonia,2023,September,9,59.43,24.73,14.92666666666667,23.6,7.8,79.43333333333334,September-2023,2023-09-01,EST,Europe
Florianopolis,Brazil,2023,September,9,-27.58,-48.57,19.09333333333334,30.9,11.2,84.86666666666666,September-2023,2023-09-01,BRA,Americas
Rome,Italy,2023,October  ,10,41.9,12.48,22.346666666666668,28.8,17.9,56.86666666666667,October  -2023,2023-10-01,ITA,Europe
Lisbon,Portugal,2023,October  ,10,38.72,-9.13,22.526666666666664,29.8,17.8,57.46666666666667,October  -2023,2023-10-01,PRT,Europe
Barcelona,Spain,2023,October  ,10,41.38,2.18,23.12666666666667,26.4,20.4,68.4,October  -2023,2023-10-01,ESP,Europe
Buenos Aires,Argentina,2023,October  ,10,-34.59,-58.67,16.906666666666666,30.2,5.7,47.93333333333333,October  -2023,2023-10-01,ARG,Americas
Tallinn,Estonia,2023,October  ,10,59.43,24.73,9.333333333333334,15.6,3.2,80.26666666666667,October  -2023,2023-10-01,EST,Europe
Florianopolis,Brazil,2023,October  ,10,-27.58,-48.57,18.113333333333333,23.7,12.7,87.93333333333334,October  -2023,2023-10-01,BRA,Americas
Berlin,Germany,2023,October  ,10,52.52,13.4,15.053333333333336,27.0,7.0,66.06666666666666,October  -2023,2023-10-01,DEU,Europe
Lima,Peru,2023,October  ,10,-12.05,-77.05,18.25333333333333,21.4,15.3,78.53333333333333,October  -2023,2023-10-01,PER,Americas
Medellin,Colombia,2023,October  ,10,6.29,-75.54,15.52,28.8,9.3,89.4,October  -2023,2023-10-01,COL,Americas
